"pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","dropoff_datetime","pickup_datetime","passenger_count","trip_distance"
"-73.871122","40.77393","-73.942854999999994","40.692346999999998","2014-01-06T00:04:00.000","2014-01-05T23:43:00.000","1","8.8599999999999994"
"-74.005484999999993","40.740609999999997","-73.983242000000004","40.722259999999999","2014-01-06T00:04:00.000","2014-01-05T23:52:00.000","1","2.21"
"-73.990966999999998","40.750509999999998","-73.988207000000003","40.734684999999999","2014-01-06T00:04:00.000","2014-01-05T23:57:00.000","2","1.6499999999999999"
"-74.005156999999997","40.728589999999997","-73.978099999999998","40.687739999999998","2014-01-06T00:04:00.000","2014-01-05T23:50:00.000","1","3.3199999999999998"
"-73.981714999999994","40.763191999999997","-73.994799999999998","40.744546999999997","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","2","1.51"
"-73.963470000000001","40.803412000000002","-73.960539999999995","40.806581999999999","2014-01-06T00:04:00.000","2014-01-06T00:02:00.000","1","0.33000000000000002"
"-73.781895000000006","40.644905000000001","-73.715890000000002","40.726857000000003","2014-01-06T00:04:00.000","2014-01-05T23:45:00.000","1","11.15"
"-73.865229999999997","40.770209999999999","-73.962329999999994","40.755009999999999","2014-01-06T00:04:00.000","2014-01-05T23:45:00.000","2","9.0299999999999994"
"-73.995266999999998","40.740012","-73.984714999999994","40.756712","2014-01-06T00:04:00.000","2014-01-05T23:55:00.000","1","1.9099999999999999"
"-73.982259999999997","40.768647000000001","-73.989293000000004","40.777062000000001","2014-01-06T00:04:00.000","2014-01-05T23:59:00.000","1","0.97999999999999998"
"-74.006784999999994","40.706727000000001","-73.986994999999993","40.697785000000003","2014-01-06T00:04:00.000","2014-01-05T23:57:00.000","1","2.21"
"-73.989725000000007","40.729675","-73.977144999999993","40.74953","2014-01-06T00:04:00.000","2014-01-06T00:00:00.000","3","1.6000000000000001"
"-73.981728000000004","40.779995","-73.993077","40.744632000000003","2014-01-06T00:04:00.000","2014-01-05T23:53:00.000","1","3.1000000000000001"
"-73.999233000000004","40.739127000000003","-73.992407","40.682662000000001","2014-01-06T00:04:00.000","2014-01-05T23:46:00.000","5","5.0300000000000002"
"-73.981776999999994","40.740606999999997","-73.982325000000003","40.773502000000001","2014-01-06T00:04:00.000","2014-01-05T23:50:00.000","1","3.21"
"-73.987235999999996","40.692349","-73.98236","40.695816000000001","2014-01-06T00:04:00.000","2014-01-06T00:01:03.000","1","0.5"
"-73.994631999999996","40.750436999999998","-73.997297000000003","40.717942000000001","2014-01-06T00:04:00.000","2014-01-05T23:52:00.000","1","3.1600000000000001"
"-73.988427000000001","40.731431999999998","-74.006617000000006","40.744014999999997","2014-01-06T00:04:00.000","2014-01-05T23:57:00.000","3","1.55"
"-73.966128999999995","40.761771000000003","-73.955838","40.772171","2014-01-06T00:04:01.000","2014-01-06T00:00:43.000","2","1.1000000000000001"
